index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.878788
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0.030303
17,0.030303
18,0.030303
19,0.030303
20,0.030303
21,0.030303
22,0.030303
23,0
24,0
25,0
26,0
27,0.121212
28,0.121212
29,0.0909091
30,0.0909091
31,0.0909091
32,0.0909091
33,0.0909091
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0.181818
45,1
46,0
47,0.030303
48,0.0606061
49,0.121212
50,0.0606061
51,0.454545
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0.575758
64,0.575758
65,0.545455
66,0.454545
67,0
68,0.787879
69,1
70,1
71,1
72,1
73,0.969697
74,0.909091
75,1
76,1
77,1
78,0.454545
79,1
80,0.181818
81,0.151515
82,1
83,0.272727
84,1
85,0.272727
86,1
87,0.272727
88,1
89,1
90,1
91,1
92,0.484848
93,1
94,0.969697
95,1
96,0.242424
97,0.818182
98,0.0909091
99,0.121212
100,0.0909091
101,0.121212
102,0.0909091
103,0.151515
104,0.212121
105,0.212121
106,0.0606061
107,0.0606061
108,0.0909091
109,0.0909091
110,0.0606061
111,0.0606061
112,0.0606061
113,0.0606061
114,0.0606061
115,0.151515
116,0.878788
117,0.212121
118,1
119,0.181818
120,0.242424
121,0.787879
122,1
123,1
124,1
125,1
126,1
127,1
128,0.969697
129,1
130,0.333333
131,1
132,0.212121
133,0.212121
134,0.151515
135,1
136,0.272727
137,1
138,0.0606061
139,0.242424
140,1
141,0.181818
142,0.242424
143,0.242424
144,0.272727
145,1
146,0.151515
147,0.151515
148,0.121212
149,0.121212
150,0.121212
151,0.121212
152,0.212121
153,0.272727
154,0.242424
155,0.181818
156,0.0909091
157,0.212121
158,1
159,0.454545
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,0.969697
169,0.909091
170,0.878788
171,0.121212
172,0.151515
173,0.363636
174,1
175,0.272727
176,1
177,0.242424
178,0.424242
179,0.272727
180,1
181,0.151515
182,0.121212
183,0.121212
184,0.121212
185,0.181818
186,0.848485
187,1
188,0.181818
189,0.363636
190,0.212121
191,0.272727
192,1
193,0.30303
194,1
195,0.242424
196,1
197,0.333333
198,1
199,0.181818
200,0.787879
201,0.212121
202,0.212121
203,0.242424
204,1
205,0.242424
206,1
207,1
208,1
209,1
210,0.272727
211,1
212,0.212121
213,0.272727
214,0.757576
215,0.30303
216,0.363636
217,0.272727
218,0.30303
219,0.939394
220,0.393939
221,0.606061
222,0.242424
223,0.272727
224,0.121212
225,0.0909091
226,0.0606061
227,0.151515
228,0.121212
229,0.181818
230,0.575758
231,0.242424
232,0.878788
233,0.30303
234,0.515152
235,0.272727
236,0.30303
237,0.272727
238,0.333333
239,0.333333
240,0.0606061
241,0.151515
242,0.242424
243,0.272727
244,0.242424
245,0.181818
246,0.181818
247,1
248,0.212121
249,0.272727
250,0.939394
251,1
252,0.151515
253,0.242424
254,0.515152
255,0.151515
256,0.242424
257,0.151515
258,0.272727
259,0.121212
260,0.0909091
261,0.0909091
262,0.0909091
263,0.030303
264,0.0606061
265,0.0909091
266,0.0909091
267,0.0909091
268,0.0909091
269,0.181818
270,1
271,1
272,1
273,0.939394
274,0.939394
275,0.212121
276,0.848485
277,0.121212
278,0.121212
279,0.181818
280,0.636364
281,0.151515
282,0.121212
283,0.121212
284,0.151515
285,0.272727
286,0.212121
287,0.151515
288,0.181818
289,1
290,0.848485
291,1
292,0.030303
293,0.030303
294,0.363636
295,1
296,1
297,0.939394
298,0.939394
299,0.939394
300,0.939394
301,0.939394
302,0.939394
303,0.818182
304,0.242424
305,0.878788
306,0.30303
307,0.848485
308,0.242424
309,0.727273
310,0.030303
311,0
312,0.0606061
313,0.0606061
314,0.0606061
315,0.0606061
316,0
317,0
318,0
319,0
320,0.0606061
321,0
322,0
323,0
324,0
325,0.0909091
326,0.0606061
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0.0606061
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0.030303
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0.181818
354,0.878788
355,1
356,0
357,0
358,0.151515
359,0.848485
360,0.0606061
361,0
362,0
363,0
364,0.121212
365,0.0606061
366,0
367,0.030303
368,0.030303
369,0
370,0.121212
371,0.121212
372,0.030303
373,0
374,0
375,0
376,0
377,0
378,0.030303
379,0.030303
380,0.030303
381,0.030303
382,0.030303
383,0.0606061
384,0.030303
385,0.030303
386,0.030303
387,0.030303
388,0.030303
389,0.030303
390,0
391,0
392,0
393,0.030303
394,0.030303
395,0.030303
396,0.030303
397,0.030303
398,0
399,0
400,0
401,0
402,0.0606061
403,0.121212
404,0.121212
405,0.121212
406,0.121212
407,0.121212
408,0.121212
409,0.0606061
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0.030303
421,0.030303
422,0.030303
423,0.030303
424,0.030303
425,0.030303
426,0.030303
427,0
428,0
429,0.484848
430,1
431,0.606061
432,0.848485
433,0.909091
434,1
435,1
436,1
437,1
438,1
439,1
440,0.969697
441,1
442,0.515152
443,0.939394
444,0.939394
445,0.575758
446,0.69697
447,0.575758
448,0.848485
449,0.848485
450,1
451,0.939394
452,0.909091
453,0.939394
454,0.787879
455,0.939394
456,0.636364
457,0.424242
458,0.424242
459,0.272727
460,0.121212
461,0.0606061
462,0.030303
463,0.030303
464,0
465,0.0909091
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0.0909091
476,0
477,0.0909091
478,0.181818
479,0.212121
480,0.0909091
481,0.121212
482,0.121212
483,0.121212
484,0.030303
485,0.030303
486,0.0606061
487,0.0606061
488,0.0909091
489,0.0606061
490,0.0606061
491,0.030303
492,0.030303
493,0
494,0.030303
495,0.030303
496,0.030303
497,0.0606061
498,0.0606061
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0.0606061
507,0.0606061
508,0.0606061
509,0
510,0.030303
511,0.030303
512,0.0909091
513,0.030303
514,0.030303
515,0.030303
516,0.030303
517,0.0606061
518,0.0606061
519,0.0606061
520,0
521,0.030303
522,0
523,0.030303
524,0.030303
525,0.030303
526,0.030303
527,0.121212
528,0
529,0
530,0.0909091
531,0
532,0.0909091
533,0.0909091
534,0.030303
535,0.030303
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0.030303
545,0.030303
