index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0.870968
33,0.870968
34,0.870968
35,0.870968
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0.0322581
65,0.0322581
66,0.0322581
67,0.0322581
68,0.0322581
69,0.0322581
70,0.0322581
71,0.0322581
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0.0322581
93,0.0322581
94,0.0322581
95,0.0322581
96,0.0322581
97,0.0322581
98,0.0322581
99,0.0322581
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0.0322581
113,0.0322581
114,0.0322581
115,0.0322581
116,0
117,0
118,0
119,0
120,0.0322581
121,0.0322581
122,0.0322581
123,0.0322581
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0.0322581
133,0.0322581
134,0.0322581
135,0.0322581
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0.0322581
145,0.0322581
146,0.0322581
147,0.0322581
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0.0322581
165,0.0322581
166,0.0322581
167,0.0322581
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0.0645161
205,0.0645161
206,0.0645161
207,0.0645161
208,0.709677
209,0.709677
210,0.709677
211,0.709677
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0.612903
245,0.612903
246,0.612903
247,0.612903
248,0.677419
249,0.677419
250,0.677419
251,0.677419
252,0.451613
253,0.451613
254,0.451613
255,0.451613
256,0.677419
257,0.677419
258,0.677419
259,0.677419
260,0.419355
261,0.419355
262,0.419355
263,0.419355
264,0.16129
265,0.16129
266,0.16129
267,0.16129
268,0
269,0
270,0
271,0
272,0.0645161
273,0.0645161
274,0.0645161
275,0.0645161
276,0
277,0
278,0
279,0
280,0.0645161
281,0.0645161
282,0.0645161
283,0.0645161
284,0.129032
285,0.129032
286,0.129032
287,0.129032
288,0.387097
289,0.387097
290,0.387097
291,0.387097
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0.0322581
301,0.0322581
302,0.0322581
303,0.0322581
304,0.645161
305,0.645161
306,0.645161
307,0.645161
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0.870968
325,0.870968
326,0.870968
327,0.870968
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0.967742
337,0.967742
338,0.967742
339,0.967742
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,0.16129
349,0.16129
350,0.16129
351,0.16129
352,0.225806
353,0.225806
354,0.225806
355,0.225806
356,1
357,1
358,1
359,1
360,0.967742
361,0.967742
362,0.967742
363,0.967742
364,0.806452
365,0.806452
366,0.806452
367,0.806452
368,1
369,1
370,1
371,1
372,0.193548
373,0.193548
374,0.193548
375,0.193548
376,1
377,1
378,1
379,1
380,0.387097
381,0.387097
382,0.387097
383,0.387097
384,0.387097
385,0.387097
386,0.387097
387,0.387097
388,1
389,1
390,1
391,1
392,0.451613
393,0.451613
394,0.451613
395,0.451613
396,1
397,1
398,1
399,1
400,0.516129
401,0.516129
402,0.516129
403,0.516129
404,1
405,1
406,1
407,1
408,0.354839
409,0.354839
410,0.354839
411,0.354839
412,0.677419
413,0.677419
414,0.677419
415,0.677419
416,0.258065
417,0.258065
418,0.258065
419,0.258065
420,0.83871
421,0.83871
422,0.83871
423,0.83871
424,1
425,1
426,1
427,1
428,0.354839
429,0.354839
430,0.354839
431,0.354839
432,1
433,1
434,1
435,1
436,0.612903
437,0.612903
438,0.612903
439,0.612903
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,0.967742
449,0.967742
450,0.967742
451,0.967742
452,0.870968
453,0.870968
454,0.870968
455,0.870968
456,0.870968
457,0.870968
458,0.870968
459,0.870968
460,0.83871
461,0.83871
462,0.83871
463,0.83871
464,0.870968
465,0.870968
466,0.870968
467,0.870968
468,0.0645161
469,0.0645161
470,0.0645161
471,0.0645161
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0.0322581
481,0.0322581
482,0.0322581
483,0.0322581
484,0.0322581
485,0.0322581
486,0.0322581
487,0.0322581
488,0.0967742
489,0.0967742
490,0.0967742
491,0.0967742
492,0.129032
493,0.129032
494,0.129032
495,0.129032
496,0.0645161
497,0.0645161
498,0.0645161
499,0.0645161
500,0.0645161
501,0.0645161
502,0.0645161
503,0.0645161
504,0.0322581
505,0.0322581
506,0.0322581
507,0.0322581
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0.0645161
541,0.0645161
542,0.0645161
543,0.0645161
544,0.0645161
545,0.0645161
546,0.0645161
547,0.0645161
548,0.129032
549,0.129032
550,0.129032
551,0.129032
552,0.16129
553,0.16129
554,0.16129
555,0.16129
556,0.16129
557,0.16129
558,0.16129
559,0.16129
560,0.16129
561,0.16129
562,0.16129
563,0.16129
564,0.129032
565,0.129032
566,0.129032
567,0.129032
568,0.129032
569,0.129032
570,0.129032
571,0.129032
572,0.129032
573,0.129032
574,0.129032
575,0.129032
576,0.0322581
577,0.0322581
578,0.0322581
579,0.0322581
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0.0645161
593,0.0645161
594,0.0645161
