index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.741935
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0.322581
23,0.16129
24,0.0967742
25,0.0967742
26,0.0645161
27,0.16129
28,0
29,0
30,0
31,0
32,0
33,0.0645161
34,0.0322581
35,0.0322581
36,0.0322581
37,0.0645161
38,0.0645161
39,0.0322581
40,0.0322581
41,0.0645161
42,0.0645161
43,0.0645161
44,0.0645161
45,0.0322581
46,0.0322581
47,0.0322581
48,0
49,0
50,0.0322581
51,0.354839
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0.225806
69,0.935484
70,0.741935
71,1
72,0.322581
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0.129032
84,0.16129
85,0.193548
86,1
87,0.935484
88,0.290323
89,1
90,0.935484
91,0.935484
92,0.322581
93,0.193548
94,1
95,0.0967742
96,0.0645161
97,0.0967742
98,0.129032
99,0.16129
100,0.193548
101,1
102,0.290323
103,1
104,0.83871
105,0.483871
106,0.548387
107,0.225806
108,0.193548
109,1
110,0.193548
111,0.258065
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0.516129
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0.193548
133,0.322581
134,1
135,1
136,0.354839
137,1
138,0.193548
139,0.580645
140,0.83871
141,0.354839
142,0.580645
143,0.354839
144,1
145,0.903226
146,0.322581
147,1
148,0.290323
149,1
150,0.290323
151,1
152,0.419355
153,1
154,0.258065
155,1
156,1
157,1
158,0.225806
159,0.870968
160,0.354839
161,1
162,0.935484
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,0.967742
171,0.83871
172,1
173,0.354839
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0.580645
182,0.967742
183,0.387097
184,0.774194
185,0.83871
186,1
187,1
188,1
189,1
190,1
191,1
192,0.967742
193,0.935484
194,1
195,1
196,0.677419
197,0.870968
198,0.612903
199,0.580645
200,0.193548
201,0.16129
202,0.0967742
203,0.0645161
204,0.0967742
205,0.193548
206,0.290323
207,0.322581
208,0.935484
209,0.870968
210,0.935484
211,0.677419
212,0.741935
213,0.225806
214,0.548387
215,0.225806
216,0.580645
217,0.709677
218,0.354839
219,1
220,1
221,1
222,0.967742
223,0.967742
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0.870968
233,0.935484
234,0.580645
235,0.16129
236,0.0645161
237,0.0645161
238,0.258065
239,0.677419
240,0.129032
241,0.16129
242,0.129032
243,0.129032
244,0.0967742
245,0.0645161
246,0.129032
247,0.16129
248,0.0967742
249,0.225806
250,0.806452
251,0.387097
252,1
253,1
254,1
255,1
256,0.290323
257,0.806452
258,0.258065
259,0.612903
260,0.354839
261,1
262,1
263,1
264,1
265,1
266,0.290323
267,1
268,0.225806
269,0.387097
270,0.741935
271,0.387097
272,0.677419
273,0.290323
274,0.322581
275,1
276,0.258065
277,1
278,0.225806
279,0.354839
280,0.419355
281,0.612903
282,0.225806
283,1
284,0.290323
285,0.774194
286,0.516129
287,0.612903
288,0.322581
289,0.709677
290,1
291,1
292,0.612903
293,1
294,0.870968
295,1
296,1
297,1
298,1
299,1
300,0.967742
301,0.967742
302,1
303,0.16129
304,0.258065
305,0.0967742
306,0.129032
307,0.0967742
308,0.0645161
309,0.0967742
310,0.0645161
311,0.0645161
312,0.0645161
313,0
314,0.0322581
315,0.0322581
316,0.0322581
317,0.0322581
318,0.0322581
319,0.0322581
320,0.16129
321,0.0645161
322,0.0645161
323,0.129032
324,0.0967742
325,0.129032
326,0.0967742
327,0.0322581
328,0.0322581
329,0.0967742
330,0.0322581
331,0.0322581
332,0
333,0.0645161
334,0
335,0.0967742
336,0
337,0
338,0
339,0.0322581
340,0
341,0.0645161
342,0
343,0.129032
344,0.0967742
345,0.0322581
346,0.0322581
347,0.0322581
348,0.0645161
349,0.0967742
350,0.0967742
351,0.0322581
352,0.0322581
353,0.193548
354,0.290323
355,0.0322581
356,0
357,0
358,0.129032
359,0.0645161
360,0.0967742
361,0.0967742
362,0.0967742
363,0.0645161
364,0.193548
365,0.225806
366,0
367,0
368,0
369,0
370,0.129032
371,0.0322581
372,0.0322581
373,0.0322581
374,0.0322581
375,0.0322581
376,0.0322581
377,0.0645161
378,0.0645161
379,0.0645161
380,0.0645161
381,0.0967742
382,0.0645161
383,0.0322581
384,0.129032
385,0.129032
386,0.0322581
387,0.0645161
388,0.0322581
389,0.0322581
390,0.0322581
391,0.0645161
392,0.0645161
393,0.0967742
394,0.0645161
395,0.0645161
396,0.0967742
397,0.0967742
398,0.0967742
399,0.129032
400,0.0967742
401,0.129032
402,0.16129
403,0.16129
404,0.16129
405,0.16129
406,0.193548
407,0.225806
408,0.193548
409,0.0322581
410,0.0322581
411,0.0967742
412,0
413,0
414,0.0322581
415,0.0322581
416,0.0322581
417,0.0322581
418,0.0322581
419,0.0322581
420,0.0322581
421,0.0322581
422,0.0967742
423,0.0967742
424,0.0967742
425,0.0967742
426,0.0967742
427,0.0967742
428,0.0645161
429,0.709677
430,1
431,0.967742
432,1
433,1
434,1
435,1
436,1
437,0.967742
438,1
439,1
440,0.967742
441,0.870968
442,0.806452
443,0.967742
444,1
445,0.83871
446,0.516129
447,0.677419
448,0.870968
449,0.903226
450,0.935484
451,1
452,1
453,1
454,0.548387
455,0.612903
456,0.612903
457,0.645161
458,0.677419
459,0.709677
460,0.193548
461,0.387097
462,0.419355
463,0.354839
464,0.354839
465,0.354839
466,0.354839
467,0.322581
468,0.16129
469,0.0967742
470,0
471,0.0322581
472,0.0322581
473,0.0322581
474,0.0322581
475,0.0967742
476,0.0967742
477,0.129032
478,0.129032
479,0.0322581
480,0
481,0.0967742
482,0.0645161
483,0.0322581
484,0.0967742
485,0.129032
486,0.16129
487,0.16129
488,0.16129
489,0.16129
490,0.0967742
491,0.0645161
492,0.0645161
493,0.0322581
494,0.0322581
495,0.0322581
496,0
497,0.0967742
498,0.0967742
499,0.0322581
500,0
501,0
502,0
503,0
504,0
505,0
506,0.0322581
507,0.193548
508,0.322581
509,0.193548
510,0.0322581
511,0.129032
512,0.129032
513,0.0967742
514,0
515,0.0322581
516,0
517,0.0645161
518,0.0645161
519,0.0645161
520,0.0322581
521,0
522,0
523,0
524,0
525,0
