Best | F1=0.4478 precision=0.4592 recall=0.4370 accuracy=0.7877 threshold=0.9700 thresholds_tested=101
Avg  | F1=0.2541 precision=0.1588 recall=0.8567 accuracy=0.3324 thresholds_tested=101
Runtime : 4210.71 sec
Avg CPU : 158.4%
Peak RAM: 1338.2 MB

RAM samples (10s intervals):
  t=10.0s  986.7 MB
  t=20.0s  1084.5 MB
  t=30.0s  1154.0 MB
  t=40.0s  1203.9 MB
  t=50.0s  1250.1 MB
  t=60.0s  1298.5 MB
  t=70.0s  1301.3 MB
  t=80.0s  1301.9 MB
  t=90.0s  1302.9 MB
  t=100.0s  1304.2 MB
  t=110.0s  1304.2 MB
  t=120.0s  1304.2 MB
  t=130.0s  1305.5 MB
  t=140.0s  1306.5 MB
  t=150.0s  1307.5 MB
  t=160.0s  1307.6 MB
  t=170.0s  1308.0 MB
  t=180.0s  1308.7 MB
  t=190.0s  1309.3 MB
  t=200.1s  1309.4 MB
  t=210.1s  1312.7 MB
  t=220.1s  1313.7 MB
  t=230.1s  1314.1 MB
  t=240.1s  1314.2 MB
  t=250.1s  1314.5 MB
  t=260.1s  1314.9 MB
  t=270.1s  1315.0 MB
  t=280.1s  1315.1 MB
  t=290.1s  1315.1 MB
  t=300.1s  1315.1 MB
  t=310.1s  1315.3 MB
  t=320.1s  1315.8 MB
  t=330.1s  1316.6 MB
  t=340.1s  1316.6 MB
  t=350.1s  1317.8 MB
  t=360.1s  1317.9 MB
  t=370.1s  1318.0 MB
  t=380.1s  1318.2 MB
  t=390.1s  1318.9 MB
  t=400.1s  1319.5 MB
  t=410.1s  1319.8 MB
  t=420.1s  1319.8 MB
  t=430.1s  1319.8 MB
  t=440.1s  1319.8 MB
  t=450.1s  1320.5 MB
  t=460.1s  1320.8 MB
  t=470.1s  1320.8 MB
  t=480.1s  1320.8 MB
  t=490.1s  1320.8 MB
  t=500.1s  1320.8 MB
  t=510.1s  1320.8 MB
  t=520.1s  1320.8 MB
  t=530.1s  1321.0 MB
  t=540.1s  1321.3 MB
  t=550.1s  1321.5 MB
  t=560.1s  1322.3 MB
  t=570.1s  1322.3 MB
  t=580.1s  1322.3 MB
  t=590.1s  1322.3 MB
  t=600.1s  1322.3 MB
  t=610.1s  1322.3 MB
  t=620.1s  1322.3 MB
  t=630.1s  1322.3 MB
