Best | F1=0.3269 precision=0.2155 recall=0.6766 accuracy=0.6626 threshold=0.7800 thresholds_tested=101
Avg  | F1=0.2416 precision=0.1506 recall=0.7832 accuracy=0.4252 thresholds_tested=101
Runtime : 3830.59 sec
Avg CPU : 142.3%
Peak RAM: 398.5 MB

RAM samples (10s intervals):
  t=10.0s  70.1 MB
  t=20.0s  158.3 MB
  t=30.0s  230.8 MB
  t=40.0s  290.6 MB
  t=50.0s  335.1 MB
  t=60.0s  336.6 MB
  t=70.0s  338.4 MB
  t=80.0s  341.3 MB
  t=90.0s  343.1 MB
  t=100.0s  343.5 MB
  t=110.0s  343.6 MB
  t=120.0s  345.7 MB
  t=130.0s  346.5 MB
  t=140.0s  346.9 MB
  t=150.0s  347.1 MB
  t=160.0s  347.1 MB
  t=170.0s  348.7 MB
  t=180.0s  348.8 MB
  t=190.0s  350.8 MB
  t=200.0s  351.0 MB
  t=210.0s  351.6 MB
  t=220.0s  352.1 MB
  t=230.0s  352.3 MB
  t=240.0s  353.6 MB
  t=250.0s  354.1 MB
  t=260.0s  355.1 MB
  t=270.0s  355.4 MB
  t=280.0s  356.4 MB
  t=290.0s  358.2 MB
  t=300.1s  358.6 MB
  t=310.1s  359.0 MB
  t=320.1s  359.0 MB
  t=330.1s  368.3 MB
  t=340.1s  369.8 MB
  t=350.1s  369.8 MB
  t=360.1s  369.8 MB
  t=370.1s  369.9 MB
  t=380.1s  370.1 MB
  t=390.1s  370.3 MB
  t=400.1s  370.4 MB
  t=410.1s  370.4 MB
  t=420.1s  371.0 MB
  t=430.1s  373.2 MB
  t=440.1s  373.5 MB
  t=450.1s  373.7 MB
  t=460.1s  373.7 MB
  t=470.1s  373.7 MB
  t=480.1s  373.7 MB
  t=490.1s  374.0 MB
  t=500.1s  374.2 MB
  t=510.1s  374.8 MB
  t=520.1s  374.9 MB
  t=530.1s  374.9 MB
  t=540.1s  374.9 MB
  t=550.1s  375.1 MB
  t=560.1s  375.4 MB
  t=570.1s  375.9 MB
  t=580.1s  376.0 MB
  t=590.1s  376.2 MB
  t=600.1s  376.2 MB
  t=610.1s  376.2 MB
  t=620.1s  376.5 MB
  t=630.1s  376.8 MB
  t=640.1s  376.9 MB
  t=650.1s  377.0 MB
  t=660.1s  377.0 MB
  t=670.1s  377.1 MB
  t=680.1s  377.3 MB
  t=690.1s  377.5 MB
  t=700.1s  377.8 MB
  t=710.1s  378.2 MB
  t=720.1s  378.2 MB
  t=730.1s  378.3 MB
  t=740.1s  378.7 MB
  t=750.1s  378.9 MB
  t=760.1s  379.0 MB
  t=770.1s  379.1 MB
  t=780.1s  379.1 MB
  t=790.1s  379.4 MB
  t=800.1s  379.6 MB
  t=810.1s  379.9 MB
  t=820.1s  379.9 MB
  t=830.1s  380.0 MB
  t=840.1s  380.1 MB
  t=850.1s  380.5 MB
  t=860.1s  381.8 MB
  t=870.1s  381.8 MB
  t=880.1s  381.9 MB
  t=890.1s  381.9 MB
  t=900.1s  382.2 MB
  t=910.1s  382.4 MB
  t=920.2s  382.6 MB
  t=930.2s  384.3 MB
  t=940.2s  384.5 MB
  t=950.2s  384.6 MB
