index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,0.870968
65,0.870968
66,0.870968
67,0.870968
68,0.870968
69,0.870968
70,0.870968
71,0.870968
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,0.0322581
129,0.0322581
130,0.0322581
131,0.0322581
132,0.0322581
133,0.0322581
134,0.0322581
135,0.0322581
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.0322581
153,0.0322581
154,0.0322581
155,0.0322581
156,0.0322581
157,0.0322581
158,0.0322581
159,0.0322581
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0.0322581
169,0.0322581
170,0.0322581
171,0.0322581
172,0.0322581
173,0.0322581
174,0.0322581
175,0.0322581
176,0.0322581
177,0.0322581
178,0.0322581
179,0.0322581
180,0.0322581
181,0.0322581
182,0.0322581
183,0.0322581
184,0.0322581
185,0.0322581
186,0.0322581
187,0.0322581
188,0.0322581
189,0.0322581
190,0.0322581
191,0.0322581
192,0.0322581
193,0.0322581
194,0.0322581
195,0.0322581
196,0.0322581
197,0.0322581
198,0.0322581
199,0.0322581
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0.0322581
241,0.0322581
242,0.0322581
243,0.0322581
244,0.0322581
245,0.0322581
246,0.0322581
247,0.0322581
248,0.0322581
249,0.0322581
250,0.0322581
251,0.0322581
252,0.0322581
253,0.0322581
254,0.0322581
255,0.0322581
256,0.0322581
257,0.0322581
258,0.0322581
259,0.0322581
260,0.0322581
261,0.0322581
262,0.0322581
263,0.0322581
264,0.0322581
265,0.0322581
266,0.0322581
267,0.0322581
268,0.0322581
269,0.0322581
270,0.0322581
271,0.0322581
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0.193548
289,0.193548
290,0.193548
291,0.193548
292,0.193548
293,0.193548
294,0.193548
295,0.193548
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,0.129032
361,0.129032
362,0.129032
363,0.129032
364,0.129032
365,0.129032
366,0.129032
367,0.129032
368,0.0967742
369,0.0967742
370,0.0967742
371,0.0967742
372,0.0967742
373,0.0967742
374,0.0967742
375,0.0967742
376,0.0967742
377,0.0967742
378,0.0967742
379,0.0967742
380,0.0967742
381,0.0967742
382,0.0967742
383,0.0967742
384,0.0645161
385,0.0645161
386,0.0645161
387,0.0645161
388,0.0645161
389,0.0645161
390,0.0645161
391,0.0645161
392,0.0645161
393,0.0645161
394,0.0645161
395,0.0645161
396,0.0645161
397,0.0645161
398,0.0645161
399,0.0645161
400,0.129032
401,0.129032
402,0.129032
403,0.129032
404,0.129032
405,0.129032
406,0.129032
407,0.129032
408,0.193548
409,0.193548
410,0.193548
411,0.193548
412,0.193548
413,0.193548
414,0.193548
415,0.193548
416,0.741935
417,0.741935
418,0.741935
419,0.741935
420,0.741935
421,0.741935
422,0.741935
423,0.741935
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0.677419
489,0.677419
490,0.677419
491,0.677419
492,0.677419
493,0.677419
494,0.677419
495,0.677419
496,0.516129
497,0.516129
498,0.516129
499,0.516129
500,0.516129
501,0.516129
502,0.516129
503,0.516129
504,0.483871
505,0.483871
506,0.483871
507,0.483871
508,0.483871
509,0.483871
510,0.483871
511,0.483871
512,0.774194
513,0.774194
514,0.774194
515,0.774194
516,0.774194
517,0.774194
518,0.774194
519,0.774194
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0.419355
529,0.419355
530,0.419355
531,0.419355
532,0.419355
533,0.419355
534,0.419355
535,0.419355
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0.193548
545,0.193548
546,0.193548
547,0.193548
548,0.193548
549,0.193548
550,0.193548
551,0.193548
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,0.677419
561,0.677419
562,0.677419
563,0.677419
564,0.677419
565,0.677419
566,0.677419
567,0.677419
568,0.258065
569,0.258065
570,0.258065
571,0.258065
572,0.258065
573,0.258065
574,0.258065
575,0.258065
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0.645161
585,0.645161
586,0.645161
587,0.645161
588,0.645161
589,0.645161
590,0.645161
591,0.645161
592,0.129032
593,0.129032
594,0.129032
595,0.129032
596,0.129032
597,0.129032
598,0.129032
599,0.129032
600,0.0645161
601,0.0645161
