index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0.870968
81,0.870968
82,0.870968
83,0.870968
84,0.870968
85,0.870968
86,0.870968
87,0.870968
88,0.870968
89,0.870968
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0.0967742
161,0.0967742
162,0.0967742
163,0.0967742
164,0.0967742
165,0.0967742
166,0.0967742
167,0.0967742
168,0.0967742
169,0.0967742
170,0.0967742
171,0.0967742
172,0.0967742
173,0.0967742
174,0.0967742
175,0.0967742
176,0.0967742
177,0.0967742
178,0.0967742
179,0.0967742
180,0.0645161
181,0.0645161
182,0.0645161
183,0.0645161
184,0.0645161
185,0.0645161
186,0.0645161
187,0.0645161
188,0.0645161
189,0.0645161
190,0.0322581
191,0.0322581
192,0.0322581
193,0.0322581
194,0.0322581
195,0.0322581
196,0.0322581
197,0.0322581
198,0.0322581
199,0.0322581
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0.0322581
231,0.0322581
232,0.0322581
233,0.0322581
234,0.0322581
235,0.0322581
236,0.0322581
237,0.0322581
238,0.0322581
239,0.0322581
240,0.0322581
241,0.0322581
242,0.0322581
243,0.0322581
244,0.0322581
245,0.0322581
246,0.0322581
247,0.0322581
248,0.0322581
249,0.0322581
250,0.0322581
251,0.0322581
252,0.0322581
253,0.0322581
254,0.0322581
255,0.0322581
256,0.0322581
257,0.0322581
258,0.0322581
259,0.0322581
260,0.0322581
261,0.0322581
262,0.0322581
263,0.0322581
264,0.0322581
265,0.0322581
266,0.0322581
267,0.0322581
268,0.0322581
269,0.0322581
270,0.0322581
271,0.0322581
272,0.0322581
273,0.0322581
274,0.0322581
275,0.0322581
276,0.0322581
277,0.0322581
278,0.0322581
279,0.0322581
280,0.0967742
281,0.0967742
282,0.0967742
283,0.0967742
284,0.0967742
285,0.0967742
286,0.0967742
287,0.0967742
288,0.0967742
289,0.0967742
290,0.322581
291,0.322581
292,0.322581
293,0.322581
294,0.322581
295,0.322581
296,0.322581
297,0.322581
298,0.322581
299,0.322581
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,0.129032
361,0.129032
362,0.129032
363,0.129032
364,0.129032
365,0.129032
366,0.129032
367,0.129032
368,0.129032
369,0.129032
370,0.129032
371,0.129032
372,0.129032
373,0.129032
374,0.129032
375,0.129032
376,0.129032
377,0.129032
378,0.129032
379,0.129032
380,0.16129
381,0.16129
382,0.16129
383,0.16129
384,0.16129
385,0.16129
386,0.16129
387,0.16129
388,0.16129
389,0.16129
390,0.16129
391,0.16129
392,0.16129
393,0.16129
394,0.16129
395,0.16129
396,0.16129
397,0.16129
398,0.16129
399,0.16129
400,0.0967742
401,0.0967742
402,0.0967742
403,0.0967742
404,0.0967742
405,0.0967742
406,0.0967742
407,0.0967742
408,0.0967742
409,0.0967742
410,0.0645161
411,0.0645161
412,0.0645161
413,0.0645161
414,0.0645161
415,0.0645161
416,0.0645161
417,0.0645161
418,0.0645161
419,0.0645161
420,0.225806
421,0.225806
422,0.225806
423,0.225806
424,0.225806
425,0.225806
426,0.225806
427,0.225806
428,0.225806
429,0.225806
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0.193548
441,0.193548
442,0.193548
443,0.193548
444,0.193548
445,0.193548
446,0.193548
447,0.193548
448,0.193548
449,0.193548
450,0.322581
451,0.322581
452,0.322581
453,0.322581
454,0.322581
455,0.322581
456,0.322581
457,0.322581
458,0.322581
459,0.322581
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0.0967742
511,0.0967742
512,0.0967742
513,0.0967742
514,0.0967742
515,0.0967742
516,0.0967742
517,0.0967742
518,0.0967742
519,0.0967742
520,0.741935
521,0.741935
522,0.741935
523,0.741935
524,0.741935
525,0.741935
526,0.741935
527,0.741935
528,0.741935
529,0.741935
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
