Best | F1=0.2683 precision=0.1612 recall=0.7985 accuracy=0.4848 threshold=0.9700 thresholds_tested=101
Avg  | F1=0.2125 precision=0.1207 recall=0.8950 accuracy=0.2329 thresholds_tested=101
Runtime : 1580.02 sec
Avg CPU : 68.5%
Peak RAM: 1310.4 MB

RAM samples (10s intervals):
  t=10.0s  1294.0 MB
  t=20.0s  1296.1 MB
  t=30.0s  1299.5 MB
  t=40.0s  1299.9 MB
  t=50.0s  1300.9 MB
  t=60.0s  1302.8 MB
  t=70.0s  1303.3 MB
  t=80.0s  1303.3 MB
  t=90.0s  1303.3 MB
  t=100.0s  1303.3 MB
  t=110.0s  1303.3 MB
  t=120.0s  1303.3 MB
  t=130.0s  1303.3 MB
  t=140.0s  1303.3 MB
  t=150.0s  1303.3 MB
  t=160.0s  1303.3 MB
  t=170.0s  1303.3 MB
  t=180.0s  1303.6 MB
  t=190.0s  1303.6 MB
  t=200.0s  1303.6 MB
  t=210.0s  1303.6 MB
  t=220.0s  1303.6 MB
  t=230.0s  1303.6 MB
  t=240.0s  1303.6 MB
  t=250.0s  1303.6 MB
  t=260.0s  1303.6 MB
  t=270.0s  1303.6 MB
  t=280.0s  1303.6 MB
  t=290.0s  1303.6 MB
  t=300.0s  1303.8 MB
  t=310.0s  1303.8 MB
  t=320.0s  1303.8 MB
  t=330.0s  1303.8 MB
  t=340.0s  1303.8 MB
  t=350.0s  1303.8 MB
  t=360.0s  1303.8 MB
  t=370.0s  1303.8 MB
  t=380.0s  1303.8 MB
  t=390.0s  1303.8 MB
  t=400.0s  1303.8 MB
  t=410.0s  1304.1 MB
  t=420.0s  1304.1 MB
  t=430.0s  1304.1 MB
  t=440.0s  1304.1 MB
  t=450.0s  1304.1 MB
  t=460.0s  1304.1 MB
  t=470.0s  1304.1 MB
  t=480.0s  1304.1 MB
  t=490.0s  1304.1 MB
  t=500.0s  1304.1 MB
  t=510.0s  1304.3 MB
  t=520.0s  1304.3 MB
  t=530.0s  1304.3 MB
  t=540.0s  1304.3 MB
  t=550.0s  1304.3 MB
  t=560.0s  1304.3 MB
  t=570.0s  1304.3 MB
  t=580.0s  1304.3 MB
  t=590.0s  1304.3 MB
  t=600.0s  1304.3 MB
  t=610.0s  1304.3 MB
  t=620.0s  1304.6 MB
  t=630.0s  1304.6 MB
  t=640.0s  1304.6 MB
  t=650.0s  1304.6 MB
  t=660.0s  1304.6 MB
  t=670.0s  1304.6 MB
  t=680.0s  1304.6 MB
  t=690.0s  1304.6 MB
  t=700.0s  1304.6 MB
  t=710.0s  1304.6 MB
  t=720.0s  1304.6 MB
  t=730.0s  1304.8 MB
  t=740.0s  1304.8 MB
  t=750.0s  1304.8 MB
  t=760.0s  1304.8 MB
  t=770.0s  1304.8 MB
  t=780.0s  1304.8 MB
  t=790.0s  1304.8 MB
  t=800.0s  1304.8 MB
  t=810.0s  1304.8 MB
  t=820.0s  1304.8 MB
  t=830.0s  1304.8 MB
  t=840.0s  1304.8 MB
  t=850.0s  1305.1 MB
  t=860.0s  1305.1 MB
  t=870.0s  1305.1 MB
  t=880.0s  1305.1 MB
  t=890.0s  1305.1 MB
  t=900.0s  1305.1 MB
  t=910.0s  1305.1 MB
  t=920.0s  1305.1 MB
  t=930.0s  1305.1 MB
  t=940.0s  1305.1 MB
  t=950.0s  1305.1 MB
  t=960.0s  1305.1 MB
  t=970.0s  1305.4 MB
  t=980.0s  1305.4 MB
  t=990.0s  1305.4 MB
  t=1000.0s  1305.4 MB
  t=1010.0s  1305.4 MB
  t=1020.0s  1305.4 MB
  t=1030.0s  1305.4 MB
  t=1040.0s  1305.4 MB
  t=1050.0s  1305.4 MB
  t=1060.0s  1305.4 MB
  t=1070.0s  1305.4 MB
  t=1080.0s  1305.6 MB
  t=1090.0s  1305.6 MB
  t=1100.0s  1305.6 MB
  t=1110.0s  1305.6 MB
  t=1120.0s  1305.6 MB
  t=1130.0s  1305.6 MB
  t=1140.0s  1305.6 MB
  t=1150.0s  1305.6 MB
  t=1160.0s  1305.6 MB
  t=1170.0s  1305.6 MB
  t=1180.0s  1305.6 MB
  t=1190.0s  1305.9 MB
  t=1200.0s  1305.9 MB
  t=1210.0s  1305.9 MB
  t=1220.0s  1305.9 MB
  t=1230.0s  1305.9 MB
  t=1240.0s  1305.9 MB
  t=1250.0s  1305.9 MB
  t=1260.0s  1305.9 MB
  t=1270.0s  1305.9 MB
  t=1280.0s  1305.9 MB
  t=1290.0s  1305.9 MB
  t=1300.0s  1305.9 MB
  t=1310.0s  1306.2 MB
  t=1320.0s  1306.2 MB
  t=1330.0s  1306.2 MB
  t=1340.0s  1306.2 MB
  t=1350.0s  1306.2 MB
  t=1360.0s  1306.2 MB
  t=1370.0s  1306.2 MB
  t=1380.0s  1306.2 MB
  t=1390.0s  1306.2 MB
  t=1400.0s  1306.2 MB
  t=1410.0s  1306.2 MB
  t=1420.0s  1306.4 MB
  t=1430.0s  1306.4 MB
  t=1440.0s  1306.4 MB
  t=1450.0s  1306.4 MB
  t=1460.0s  1306.4 MB
  t=1470.0s  1306.4 MB
  t=1480.0s  1306.4 MB
  t=1490.0s  1306.4 MB
  t=1500.0s  1306.4 MB
  t=1510.0s  1306.4 MB
  t=1520.0s  1306.4 MB
  t=1530.0s  1306.7 MB
  t=1540.0s  1306.7 MB
  t=1550.0s  1306.7 MB
  t=1560.0s  1306.7 MB
  t=1570.0s  1310.3 MB
