index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0.870968
17,0.870968
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0.0322581
39,0.0322581
40,0.0322581
41,0.0322581
42,0
43,0
44,0
45,0
46,0.0322581
47,0.0322581
48,0.0322581
49,0.0322581
50,0.0322581
51,0.0322581
52,0.0322581
53,0.0322581
54,0.0322581
55,0.0322581
56,0.0322581
57,0.0322581
58,0.0322581
59,0.0322581
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0.0322581
89,0.0322581
90,0.0322581
91,0.0322581
92,0.0322581
93,0.0322581
94,0.0322581
95,0.0322581
96,0
97,0
98,0
99,0
100,0
101,0
102,0.0645161
103,0.0645161
104,0.774194
105,0.774194
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0.612903
123,0.612903
124,0.516129
125,0.516129
126,0.483871
127,0.483871
128,0.806452
129,0.806452
130,0.419355
131,0.419355
132,0.0322581
133,0.0322581
134,0
135,0
136,0.290323
137,0.290323
138,1
139,1
140,0.129032
141,0.129032
142,0.129032
143,0.129032
144,0.193548
145,0.193548
146,1
147,1
148,0.709677
149,0.709677
150,0.774194
151,0.774194
152,0.129032
153,0.129032
154,0.129032
155,0.129032
156,0.0645161
157,0.0645161
158,0.0645161
159,0.0645161
160,0.0645161
161,0.0645161
162,0.193548
163,0.193548
164,1
165,1
166,0.129032
167,0.129032
168,0.193548
169,0.193548
170,1
171,1
172,0.516129
173,0.516129
174,0.516129
175,0.516129
176,0.16129
177,0.16129
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0.0645161
191,0.0645161
192,0.0967742
193,0.0967742
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0.129032
231,0.129032
232,0.0645161
233,0.0645161
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0.0645161
271,0.0645161
272,0.0645161
273,0.0645161
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0.0645161
285,0.0645161
286,0.0322581
287,0.0322581
288,0.258065
289,0.258065
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,0.903226
307,0.903226
308,0.387097
309,0.387097
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0.16129
327,0.16129
328,0.0645161
329,0.0645161
330,0.0322581
331,0.0322581
332,0.0322581
333,0.0322581
334,0.0322581
335,0.0322581
336,0.0322581
337,0.0322581
338,0.290323
339,0.290323
340,1
341,1
342,1
343,1
344,0.0967742
345,0.0967742
346,0.129032
347,0.129032
348,0.193548
349,0.193548
350,0.193548
351,0.193548
352,0.193548
353,0.193548
354,0.354839
355,0.354839
356,1
357,1
358,0.483871
359,0.483871
360,0.451613
361,0.451613
362,0.129032
363,0.129032
364,0.193548
365,0.193548
366,0.16129
367,0.16129
368,0
369,0
370,0.0322581
371,0.0322581
372,0.0967742
373,0.0967742
374,0.0967742
375,0.0967742
376,0.0645161
377,0.0645161
378,0.0967742
379,0.0967742
380,0.129032
381,0.129032
382,0.16129
383,0.16129
384,0.225806
385,0.225806
386,1
387,1
388,0.580645
389,0.580645
390,0.645161
391,0.645161
392,0.322581
393,0.322581
394,0.129032
395,0.129032
396,0.129032
397,0.129032
398,0.129032
399,0.129032
400,0.129032
401,0.129032
402,0.548387
403,0.548387
404,1
405,1
406,0.580645
407,0.580645
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,0.774194
419,0.774194
420,0.612903
421,0.612903
422,1
423,1
424,1
425,1
426,0.967742
427,0.967742
428,0.935484
429,0.935484
430,0.806452
431,0.806452
432,0.870968
433,0.870968
434,0.806452
435,0.806452
436,0
437,0
438,0
439,0
440,0
441,0
442,0.0645161
443,0.0645161
444,0.129032
445,0.129032
446,0.0967742
447,0.0967742
448,0.0645161
449,0.0645161
450,0.129032
451,0.129032
452,0.129032
453,0.129032
454,0.0967742
455,0.0967742
456,0.0967742
457,0.0967742
458,0.0645161
459,0.0645161
460,0.0645161
461,0.0645161
462,0
463,0
464,0
465,0
466,0.0322581
467,0.0322581
468,0.0322581
469,0.0322581
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0.0322581
479,0.0322581
480,0.0322581
481,0.0322581
482,0.0645161
483,0.0645161
484,0.0322581
485,0.0322581
486,0.0322581
487,0.0322581
488,0.0967742
489,0.0967742
490,0.0967742
491,0.0967742
492,0.0645161
493,0.0645161
494,0.0322581
495,0.0322581
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0.0645161
541,0.0645161
542,0.0645161
543,0.0645161
544,0.0645161
545,0.0645161
546,0.129032
547,0.129032
548,0.129032
549,0.129032
550,0.0967742
551,0.0967742
552,0.129032
553,0.129032
554,0.0645161
555,0.0645161
556,0.0645161
557,0.0645161
558,0.0322581
559,0.0322581
560,0.0322581
561,0.0322581
562,0.0322581
563,0.0322581
564,0.0322581
565,0.0322581
566,0
567,0
568,0.0645161
569,0.0645161
570,0.0645161
571,0.0645161
572,0.0967742
573,0.0967742
574,0.0322581
575,0.0322581
576,0.0322581
577,0.0322581
578,0
579,0
580,0
581,0
